custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
292979,Teen 12-17,Male,Arrested,Suspect,41.7327,-87.6209,Stolen,Shotgun,163982,1177
293040,Teen 12-17,Male,Arrested,Suspect,35.1485,-80.8851,Stolen,Shotgun,164012,1177
295152,Adult 18+,Male,Arrested,Suspect,41.2003,-73.0876,Stolen,Shotgun,165280,1183
295559,Adult 18+,Male,Arrested,Suspect,38.2083,-85.7819,Stolen,Shotgun,165522,1185
296786,Adult 18+,Male,Arrested,Suspect,30.2499,-81.3933,Stolen,Shotgun,166220,1189
297359,Adult 18+,Male,Arrested,Suspect,30.455,-89.0235,Stolen,Shotgun,166571,1191
299237,Adult 18+,Male,Arrested,Suspect,41.5688,-81.5296,Stolen,Shotgun,167677,1198
300186,Adult 18+,Male,Arrested,Suspect,39.6042,-75.71,Stolen,Shotgun,168231,1201
300831,Adult 18+,Male,Arrested,Suspect,39.1612,-75.5343,Stolen,Shotgun,168608,1203
302300,Adult 18+,Male,Arrested,Suspect,39.655,-104.995,Stolen,Shotgun,169461,1208
303599,Adult 18+,Male,Arrested,Suspect,27.7547,-82.6711,Stolen,Shotgun,170257,1213
304259,Adult 18+,Female,Arrested,Suspect,40.0661,-74.8478,Stolen,Shotgun,170663,1215
307113,Adult 18+,Male,Arrested,Suspect,36.2761,-92.5726,Stolen,Shotgun,172388,1226
309567,Adult 18+,Male,Arrested,Suspect,42.2253,-89.0722,Stolen,Shotgun,173884,1235
310596,Adult 18+,Male,Arrested,Suspect,38.9178,-90.1739,Stolen,Shotgun,174538,1239
311250,Adult 18+,Male,Arrested,Suspect,33.8156,-116.459,Stolen,Shotgun,174935,1242
312356,Adult 18+,Male,Arrested,Suspect,29.9999,-94.0216,Stolen,Shotgun,175615,1246
312998,Adult 18+,Male,Arrested,Suspect,26.5377,-80.059,Stolen,Shotgun,176008,1249
314111,Adult 18+,Male,Arrested,Suspect,43.5369,-92.3893,Stolen,Shotgun,176699,1254
315022,Adult 18+,Male,Arrested,Suspect,42.4854,-73.6719,Stolen,Shotgun,177264,1257
315087,Adult 18+,Male,Arrested,Suspect,36.1802,-95.9758,Stolen,Shotgun,177304,1257
317176,Adult 18+,Male,Arrested,Suspect,28.7912,-81.2819,Stolen,Shotgun,178561,1264
317314,Adult 18+,Male,Arrested,Suspect,29.8776,-98.2996,Stolen,Shotgun,178648,1265
319174,Adult 18+,Male,Arrested,Suspect,41.1211,-80.6981,Stolen,Shotgun,179802,1271
319403,Adult 18+,Male,Arrested,Suspect,41.6748,-87.4978,Stolen,Shotgun,179964,1272
319717,Adult 18+,Male,Arrested,Suspect,43.7843,-91.2307,Stolen,Shotgun,180175,1273
324280,Adult 18+,Female,Arrested,Suspect,42.7643,-75.9557,Stolen,Shotgun,183042,1288
326370,Adult 18+,Male,Arrested,Suspect,36.1723,-84.092,Stolen,Shotgun,184385,1296
328534,Adult 18+,Male,Arrested,Suspect,32.8303,-86.6521,Stolen,Shotgun,185724,1304
328745,Adult 18+,Male,Arrested,Suspect,33.1836,-87.5419,Stolen,Shotgun,185863,1304
329154,Adult 18+,Male,Arrested,Suspect,38.6098,-90.1572,Stolen,Shotgun,186117,1306
333657,Adult 18+,Male,Arrested,Suspect,42.255,-84.4236,Stolen,Shotgun,188884,1321
334675,Adult 18+,Male,Unharmed,Suspect,41.816,-87.8623,Stolen,Shotgun,189497,1324
335912,Adult 18+,Male,Arrested,Suspect,34.6289,-99.3502,Stolen,Shotgun,190262,1328
336090,Adult 18+,Male,Arrested,Suspect,39.8123,-86.1811,Stolen,Shotgun,190370,1328
339288,Adult 18+,Male,Arrested,Suspect,41.7836,-72.6849,Stolen,Shotgun,192328,1340
340670,Adult 18+,Male,Arrested,Suspect,35.3771,-119.006,Stolen,Shotgun,193144,1345
341985,Adult 18+,Female,Arrested,Suspect,40.7318,-111.989,Stolen,Shotgun,193946,1349
313212,Adult 18+,Male,Unharmed,Suspect,39.133,-75.5329,Stolen,Shotgun,176143,1250
344444,Adult 18+,Male,Arrested,Suspect,26.6967,-82.017,Stolen,Shotgun,195424,1358
346438,Adult 18+,Male,Arrested,Suspect,40.9428,-74.6561,Stolen,Shotgun,196596,1364
